Company,Company_norm,Best_HDP2_topic0,Best_HDP2_topic1,Best_HDP2_topic2,Best_HDP2_topic3,Best_HDP2_topic4,Best_HDP2_topic5,Best_HDP2_topic6,Best_HDP2_topic7,Best_HDP2_topic8,Best_HDP2_topic9,Best_HDP2_topic10,Best_HDP2_topic11,Best_HDP2_topic12,Best_HDP2_topic13,Best_HDP2_topic14,Best_HDP2_topic15,Best_HDP2_topic16,Best_HDP2_topic17,Best_HDP2_topic18,Best_HDP2_topic19,Best_HDP2_topic20,Best_HDP2_topic21,Best_HDP2_topic22,Best_HDP2_topic23,Best_HDP2_topic24,Best_HDP2_topic25,Best_HDP2_topic26,Best_HDP2_topic27,Best_HDP2_topic28,Best_HDP2_topic29,Best_HDP2_topic30,Best_HDP2_topic31,Best_HDP2_topic32,Best_HDP2_topic33,Best_HDP2_topic34,Best_HDP2_topic35,Best_HDP2_topic36,Best_HDP2_topic37,Best_HDP2_topic38,Best_HDP2_topic39,Best_HDP2_topic40,Best_HDP2_topic41,Best_HDP2_topic42,Best_HDP2_topic43,Best_HDP2_topic44,Best_HDP2_topic45,Best_HDP2_topic46,Best_HDP2_topic47,Best_HDP2_topic48,Best_HDP2_topic49,Best_HDP2_topic50,Best_HDP2_topic51,Best_HDP2_topic52,Best_HDP2_topic53,Best_HDP2_topic54,Best_HDP2_topic55,Best_HDP2_topic56,Best_HDP2_topic57,Best_HDP2_topic58,Best_HDP2_topic59,Best_HDP2_topic60,Best_HDP2_topic61,Best_HDP2_topic62,Best_HDP2_topic63,Best_HDP2_topic64,Best_HDP2_topic65,Best_HDP2_topic66,Best_HDP2_topic67,Best_HDP2_topic68,Best_HDP2_topic69,Best_HDP2_topic70,Best_HDP2_topic71,Best_HDP2_topic72,Best_HDP2_topic73,Best_HDP2_topic74,Best_HDP2_topic75,Best_HDP2_topic76,Best_HDP2_topic77,Best_HDP2_topic78,Best_HDP2_topic79,Best_HDP2_topic80,Best_HDP2_topic81,Best_HDP2_topic82,Best_HDP2_topic83,Best_HDP2_topic84,Best_HDP2_topic85,Best_HDP2_topic86,Best_HDP2_topic87,Best_HDP2_topic88,Best_HDP2_topic89,Best_HDP2_topic90,Best_HDP2_topic91,Best_HDP2_topic92,Best_HDP2_topic93,Best_HDP2_topic94,Best_HDP2_topic95,Best_HDP2_topic96,Best_HDP2_topic97,Best_HDP2_topic98,Best_HDP2_topic99
Boston Scientific,boston scientific,0.8121222631120535,0.0020216684570069764,0.0007980763070106576,0.0004835202924672324,0.0002758977281039252,0.18001559776086218,0.00015193626953715397,0.00021191454255681158,0.00011974207663329766,0.00011447246451348208,0.0001545261039727837,0.00010089853565661696,0.0001734342052882375,7.561074375761859e-05,0.00014861698569409065,0.00011390727434539039,0.00012274145771843894,0.00014635256034220854,0.00012422115338926463,7.122943955712967e-05,5.6797215285442914e-05,8.862769457662829e-05,7.750467526232783e-05,6.0887637958400654e-05,6.166502336733404e-05,5.0447382710504855e-05,4.3572496251819655e-05,8.386850856051864e-05,5.099838835180794e-05,6.744115008178589e-05,9.499953629280921e-05,3.792155438172119e-05,2.1762524039111136e-05,6.4252806243692e-05,3.059465980428603e-05,4.874272028648735e-05,8.466385730478853e-05,3.481032802191765e-05,4.0783561383501316e-05,2.9409802318254845e-05,9.106366289650893e-05,2.927004643373167e-05,3.996178224259078e-05,4.9059765793014714e-05,2.7826509309648273e-05,5.272070717020078e-05,3.022092038503335e-05,3.182450760307009e-05,2.510724407528054e-05,3.0204942914723346e-05,1.4435383614099308e-05,3.119477619157794e-05,3.274562863594935e-05,1.9895198394922983e-05,2.9277136924963597e-05,4.159033902137087e-05,5.8998823139840326e-05,5.309862704251572e-05,6.405949555380225e-05,1.9843680362822212e-05,1.1692431353973034e-05,2.0512561642905658e-05,1.3480225108732093e-05,2.9922424116717046e-05,2.6111863886207213e-05,3.032583689427865e-05,1.4678083996942345e-05,1.748466991667838e-05,2.080373138376838e-05,1.7335897124594318e-05,1.3561162439428498e-05,1.8812297570791645e-05,2.112310370147449e-05,1.9285509410455366e-05,1.5034239218387036e-05,1.3365529163245951e-05,1.1955173939111983e-05,1.3572468848600882e-05,7.374978797158661e-06,9.03030925283293e-06,1.3188350729774138e-05,9.408111315855238e-06,2.5792009389673507e-05,1.709610827161844e-05,2.0223503774517893e-05,7.469954868308125e-06,1.646959452016772e-05,8.95341828401982e-06,1.0112018674276334e-05,1.3721443681758133e-05,1.715876803138909e-05,8.932935342829924e-06,4.565547495366446e-06,5.145894183751245e-06,4.780398006398752e-06,7.228591368935425e-06,6.806840346036172e-06,3.1410961770876187e-06,3.0781113773300374e-06,2.486635738768813e-06
"Box, Inc.","box, inc.",0.5834909870990047,0.0019000244588006192,0.0007500476425918041,0.0004544217793799566,0.00025929405339357003,0.00018251959347598024,0.40908027352945936,0.0001991614106075639,0.00011253593360622352,0.00010758344959793123,0.0001452266393405263,9.482640713164921e-05,0.00016299684087771888,7.106044824562863e-05,0.0001396731350003702,0.00010705227288027634,0.00011535481031312172,0.00013754498399263336,0.00011674545709703722,6.69428133049483e-05,5.337912810678271e-05,8.329403191404651e-05,7.284040192658414e-05,5.722338692780735e-05,5.7953988861779894e-05,4.741143189543143e-05,4.095027982743914e-05,7.882125629007968e-05,4.792927771880256e-05,6.338250514206235e-05,8.928241274459996e-05,3.563941469977364e-05,2.0452843555313976e-05,6.038603756303116e-05,2.8753456606436587e-05,4.5809356979378805e-05,7.956874051613877e-05,3.2715423627420545e-05,3.832918457005258e-05,2.7639904485662997e-05,8.55834023410558e-05,2.7508559185965684e-05,3.755686054293803e-05,4.610732251560363e-05,2.615189490786518e-05,4.9547946457853874e-05,2.8402209027861084e-05,2.9909291498573714e-05,2.3596276528123275e-05,2.8387193090368128e-05,1.356665440964057e-05,2.9317457664503328e-05,3.0774978968792276e-05,1.8697894579783007e-05,2.7515222967594888e-05,3.908740989270434e-05,5.5448242008057e-05,4.990312290756212e-05,6.0204360415160846e-05,1.8649476930757508e-05,1.0988774502179755e-05,1.927810457312282e-05,1.2668977860463922e-05,2.8121676426645044e-05,2.4540437774701342e-05,2.8500811604754616e-05,1.379474895199156e-05,1.643243301096125e-05,1.9551751561275656e-05,1.6292613446083846e-05,1.2745044338761348e-05,1.768016331377387e-05,1.9851903879922234e-05,1.8124897008623346e-05,1.4129470559307197e-05,1.2561184379099308e-05,1.1235705096237134e-05,1.2755670322105905e-05,6.931148578673993e-06,8.486860350957702e-06,1.2394668639718068e-05,8.841926081200348e-06,2.4239832295010177e-05,1.6067255216155654e-05,1.900644236381555e-05,7.020408938420283e-06,1.547844540160264e-05,8.414596722293822e-06,9.503471913537956e-06,1.2895679769115284e-05,1.6126144077645225e-05,8.395346455598805e-06,4.290790374281393e-06,4.836211484629017e-06,4.492711065191403e-06,6.793570825168297e-06,6.397201007257949e-06,2.952063307854793e-06,2.8928689674607546e-06,2.336988653186039e-06
Boyd Gaming,boyd gaming,0.07066550230060188,0.003664134771278874,0.7957373058030671,0.0008763220774502558,0.0005000312789813726,0.0003519768562776372,0.00027536612099866284,0.00038406949008844504,0.00021701803830831006,0.00020746750338322876,0.0002800598828288079,0.00018286639827900784,0.00031432853066745323,0.00013703533249687883,0.00026935032030049995,0.00020644316452925993,0.00022245405393070327,0.00026524632309602516,0.0002251358234540372,0.00012909474828825602,0.00010293808650378783,0.00016062698224042176,0.00014046785439226082,0.00011035148310835509,0.0001117604001841202,9.142978259137627e-05,7.896988198830504e-05,0.00015200153292302407,9.242841370530466e-05,0.00012222893157955774,0.00017217517506065645,6.872823298969364e-05,3.944194395482878e-05,0.00011645044381109763,5.5449122314535965e-05,8.834028802405645e-05,0.0001534430063725035,6.308951132792223e-05,7.391527469311317e-05,5.3301711358228063e-05,0.0001650418803366076,5.304842071258355e-05,7.242589934488658e-05,8.891489467708572e-05,5.043218418402243e-05,9.55499083529527e-05,5.477176479840492e-05,5.767807277384085e-05,4.550384467802149e-05,5.47428075649804e-05,2.6162387710658837e-05,5.653676071858334e-05,5.934749329184442e-05,3.605764196526545e-05,5.306127137077372e-05,7.537746163060591e-05,0.00010692823458806309,9.623484243488518e-05,0.00011610009155495317,3.5964271760084756e-05,2.1191118333989133e-05,3.71765382193462e-05,2.4431278388552354e-05,5.4230776397220455e-05,4.73245966370897e-05,5.49619132880816e-05,2.6602252814573574e-05,3.1688850506628855e-05,3.7704248175223106e-05,3.1419217806081925e-05,2.4577967515946027e-05,3.40950151331358e-05,3.828307189222623e-05,3.495265438606595e-05,2.724774109792689e-05,0.12046657346535627,2.166730750666841e-05,2.459845901574201e-05,1.33662575105173e-05,1.6366343848944264e-05,2.390229136131136e-05,1.7051064415775773e-05,4.6744899029252036e-05,3.09846294980773e-05,3.665265577702642e-05,1.3538390157842338e-05,2.9849149062662782e-05,1.622698826330039e-05,1.8326811407730408e-05,2.48684578913094e-05,3.1098192737739e-05,1.6189865408571316e-05,8.274502907462713e-06,9.326311122194898e-06,8.663893485484502e-06,1.310094799360208e-05,1.233657524997232e-05,5.692857094644109e-06,5.578704759300102e-06,4.506726667749136e-06
BP,bp,0.4645137037396045,0.5325055408294211,0.0003942000525399018,0.00023882894783437358,0.00013627631588475675,9.592621755168597e-05,7.504706618677722e-05,0.00010467260220123184,5.914513748307979e-05,5.654227688409861e-05,7.632628330126595e-05,4.98376003744081e-05,8.566570920141386e-05,3.734700416493947e-05,7.340754643930733e-05,5.626310809785616e-05,6.0626645167200736e-05,7.228906117061276e-05,6.13575227863698e-05,3.5182912422262503e-05,2.805429136661106e-05,4.377656816990118e-05,3.828248851913694e-05,3.0074705728530662e-05,3.045868576446667e-05,2.4917869056269946e-05,2.1522102787536063e-05,4.1425826315871214e-05,2.5190031568605742e-05,3.331173306622813e-05,4.6923861626971104e-05,1.873088901195231e-05,1.0749333170610217e-05,3.173688953628926e-05,1.5111858849033548e-05,2.407587185473888e-05,4.18186791220815e-05,1.719413671931342e-05,2.0144542444038782e-05,1.452661295319209e-05,4.4979784994217575e-05,1.4457582239539892e-05,1.973863466595065e-05,2.4232472613629836e-05,1.374456469327412e-05,2.6040749930669062e-05,1.4927254823814903e-05,1.5719327160820942e-05,1.2401416815254814e-05,1.4919362947336003e-05,7.130181574281153e-06,1.5408279015028555e-05,1.617430365413032e-05,9.826990456533074e-06,1.4461084501155242e-05,2.0543040412770352e-05,2.914174869901508e-05,2.6227418839661743e-05,3.164140608008119e-05,9.801543753276131e-06,5.775333778952542e-06,1.0131929498894582e-05,6.658392686811939e-06,1.4779816234773056e-05,1.2897636511005111e-05,1.4979077053210185e-05,7.250060466597406e-06,8.636339331538219e-06,1.0275749239109857e-05,8.562854826433966e-06,6.6983706935924e-06,9.292104809611048e-06,1.0433499297987363e-05,9.525842022982116e-06,7.425978991897187e-06,6.601740024228641e-06,5.905112272508262e-06,6.703955356425569e-06,3.6427807764564138e-06,4.4604110542459896e-06,6.51422489920856e-06,4.647021772776253e-06,1.2739648285779972e-05,8.444414048764803e-06,9.989152892316121e-06,3.689693047762186e-06,8.134955226883233e-06,4.422431698538089e-06,4.994708222349569e-06,6.777539657252321e-06,8.475364072436443e-06,4.412314399700486e-06,2.255096469772511e-06,2.5417516342514617e-06,2.3612192577731838e-06,3.5704744927214766e-06,3.3621557217902127e-06,1.5515061243706712e-06,1.5203955511641056e-06,1.2282433775574216e-06
BP Prudhoe Bay Royalty Trust,bp prudhoe bay royalty trust,0.15055761601670237,0.8416830610157113,0.005840396275020601,0.0001771836191012299,0.00010110135754141781,7.116622397167133e-05,5.567629431221289e-05,7.765503573553129e-05,4.38788915938255e-05,4.194786830236374e-05,5.662532632871087e-05,3.6973769225756795e-05,6.355410651352983e-05,2.7707182988226884e-05,5.4459959169095706e-05,4.174075716137744e-05,4.4977999953926275e-05,5.3630171701472024e-05,4.552022711214444e-05,2.610167573916214e-05,2.0813058553956065e-05,3.247718021834553e-05,2.8401204818462607e-05,2.2311973706307183e-05,2.259684274352684e-05,1.848619382078532e-05,1.596692568946396e-05,3.073320004740489e-05,1.8688107112103683e-05,2.4713475802362173e-05,3.4812110092441014e-05,1.3896165997526995e-05,7.974769270492491e-06,2.3545122976279153e-05,1.1211261727265957e-05,1.7861528708816386e-05,3.102465165999033e-05,1.2756072489847595e-05,1.4944934304397649e-05,1.0777076563241187e-05,3.3369828757934267e-05,1.0725863710758501e-05,1.4643797403719803e-05,1.797770846619463e-05,1.0196886673110363e-05,1.9319242322441676e-05,1.1074306766045857e-05,1.1661933368822776e-05,9.200425380735378e-06,1.1068451901094556e-05,5.28977491060324e-06,1.1431171408491055e-05,1.1999473614347986e-05,7.2904970262201065e-06,1.0728461986192335e-05,1.524057397850162e-05,2.161982686039744e-05,1.9457729190004894e-05,2.347428523031642e-05,7.271618498226979e-06,4.284633624823581e-06,7.5167267342216035e-06,4.939761801675132e-06,1.0964924285243195e-05,9.568563340390595e-06,1.1112752901815454e-05,5.378711265207836e-06,6.407170790742816e-06,7.6234244452847235e-06,6.352653737092922e-06,4.9694208860953666e-06,6.893673376548159e-06,7.74045685110821e-06,7.067079514117558e-06,5.509222584133809e-06,4.897732039875943e-06,4.380914345306655e-06,4.973564063801476e-06,2.702524494696284e-06,3.3091121509211395e-06,4.832805879468001e-06,3.447555847851894e-06,9.451354242521174e-06,6.2647842982042156e-06,7.410802908379069e-06,2.7373280061030333e-06,6.035201433476258e-06,3.2809358357948615e-06,3.705499216972206e-06,5.028155154403103e-06,6.287745657181574e-06,3.2734299633291073e-06,1.6730222929835017e-06,1.8856874658488184e-06,1.751753199842044e-06,2.648881545832308e-06,2.4943329699791045e-06,1.1510391544510798e-06,1.1279586861785496e-06,9.112153645782656e-07
Brady Corporation,brady corporation,0.9924255673186744,0.0019029251060448291,0.0007500476425944179,0.0004544217793798693,0.0002592940533935202,0.0001825195934759452,0.00014279266254392398,0.00019916141060752563,0.0001125359336062019,0.00010758344959791057,0.00014522663934049838,9.4826407131631e-05,0.00016299684087768754,7.106044824561498e-05,0.00013967313500034336,0.00010705227288025578,0.00011535481031309956,0.00013754498399260693,0.00011674545709701479,6.694281330493544e-05,5.3379128106772455e-05,8.32940319140305e-05,7.284040192657014e-05,5.722338692779636e-05,5.7953988861768754e-05,4.741143189542232e-05,4.095027982743127e-05,7.882125629006453e-05,4.792927771879335e-05,6.338250514205018e-05,8.92824127445828e-05,3.56394146997668e-05,2.045284355531005e-05,6.0386037563019556e-05,2.875345660643106e-05,4.580935697937e-05,7.956874051612349e-05,3.2715423627414256e-05,3.832918457004521e-05,2.7639904485657688e-05,8.558340234103936e-05,2.75085591859604e-05,3.7556860542930816e-05,4.610732251559477e-05,2.6151894907860155e-05,4.9547946457844354e-05,2.8402209027855626e-05,2.9909291498567967e-05,2.359627652811874e-05,2.8387193090362677e-05,1.3566654409637963e-05,2.9317457664497694e-05,3.077497896878637e-05,1.8697894579779415e-05,2.75152229675896e-05,3.908740989269683e-05,5.544824200804635e-05,4.990312290755253e-05,6.020436041514928e-05,1.8649476930753924e-05,1.0988774502177645e-05,1.9278104573119116e-05,1.2668977860461488e-05,2.8121676426639643e-05,2.4540437774696626e-05,2.850081160474914e-05,1.379474895198891e-05,1.643243301095809e-05,1.9551751561271902e-05,1.6292613446080716e-05,1.27450443387589e-05,1.7680163313770473e-05,1.9851903879918422e-05,1.8124897008619863e-05,1.4129470559304483e-05,1.2561184379096894e-05,1.1235705096234974e-05,1.2755670322103453e-05,6.931148578672661e-06,8.486860350956073e-06,1.2394668639715686e-05,8.841926081198649e-06,2.4239832295005518e-05,1.6067255216152567e-05,1.90064423638119e-05,7.020408938418935e-06,1.547844540159967e-05,8.414596722292206e-06,9.50347191353613e-06,1.2895679769112806e-05,1.6126144077642128e-05,8.395346455597192e-06,4.290790374280568e-06,4.836211484628088e-06,4.49271106519054e-06,6.793570825166992e-06,6.39720100725672e-06,2.952063307854226e-06,2.892868967460199e-06,2.3369886531855896e-06
Brandywine Realty Trust,brandywine realty trust,0.0614769623004519,0.003664136967865605,0.9253681936661362,0.0008763220774500395,0.0005000312789812492,0.0003519768562775503,0.0002753661209985949,0.00038406949008835023,0.0002170180383082565,0.00020746750338317756,0.00028005988282873875,0.00018286639827896271,0.00031432853066737566,0.000137035332496845,0.0002693503203004335,0.00020644316452920897,0.00022245405393064835,0.0002652463230959597,0.00022513582345398163,0.00012909474828822417,0.00010293808650376241,0.0001606269822403821,0.00014046785439222615,0.00011035148310832785,0.00011176040018409262,9.142978259135371e-05,7.896988198828556e-05,0.00015200153292298655,9.242841370528185e-05,0.00012222893157952757,0.00017217517506061395,6.872823298967669e-05,3.944194395481905e-05,0.00011645044381106888,5.544912231452228e-05,8.834028802403465e-05,0.00015344300637246564,6.308951132790666e-05,7.391527469309493e-05,5.3301711358214904e-05,0.00016504188033656685,5.304842071257046e-05,7.24258993448687e-05,8.891489467706377e-05,5.043218418400998e-05,9.554990835292912e-05,5.47717647983914e-05,5.7678072773826616e-05,4.5503844678010264e-05,5.474280756496689e-05,2.616238771065238e-05,5.653676071856939e-05,5.934749329182977e-05,3.605764196525655e-05,5.306127137076062e-05,7.53774616305873e-05,0.00010692823458803669,9.623484243486143e-05,0.0001161000915549245,3.596427176007588e-05,2.1191118333983902e-05,3.717653821933702e-05,2.4431278388546323e-05,5.4230776397207065e-05,4.7324596637078016e-05,5.496191328806803e-05,2.6602252814567008e-05,3.168885050662103e-05,3.77042481752138e-05,3.141921780607417e-05,2.4577967515939963e-05,3.409501513312738e-05,3.828307189221678e-05,3.4952654386057325e-05,2.7247741097920165e-05,2.422340585291676e-05,2.166730750666306e-05,2.4598459015735937e-05,1.3366257510514001e-05,1.6366343848940225e-05,2.3902291361305456e-05,1.7051064415771565e-05,4.6744899029240496e-05,3.098462949806966e-05,3.665265577701737e-05,1.3538390157838998e-05,2.9849149062655416e-05,1.6226988263296386e-05,1.8326811407725884e-05,2.486845789130326e-05,3.1098192737731326e-05,1.618986540856732e-05,8.274502907460671e-06,9.326311122192596e-06,8.663893485482364e-06,1.3100947993598847e-05,1.2336575249969273e-05,5.692857094642704e-06,5.5787047592987244e-06,4.506726667748023e-06
Braskem,braskem,0.5886544465463899,0.39634689814181356,0.001983547744454894,0.001201746721596024,0.0006857192870910433,0.0004826844421631455,0.0003776240969662684,0.000526694764922256,0.0002976082912609449,0.0002845111385918039,0.0003840609003248482,0.00025077434458946985,0.0004310553059815497,0.000187923784882954,0.00036937431192396165,0.0002831064086514808,0.000305062986424809,0.00036374628392737523,0.0003087406385297517,0.00017703444261277563,0.00014116443162453258,0.00022027625946494212,0.00019263098334425954,0.00015133081370559515,0.00015326293606148487,0.00012538248700194447,0.00010829556760728487,0.0002084477255203962,0.00012675196256136328,0.00016761898574700273,0.00023611290585236986,9.425065372855504e-05,5.408881969401281e-05,0.00015969464045179494,7.604030831992032e-05,0.0001211457000223581,0.00021042449415005333,8.651797707302375e-05,0.00010136391781520601,7.30954503241352e-05,0.00022633064226528076,7.274809949177926e-05,9.932145878328821e-05,0.000121933688456353,6.91603162417372e-05,0.00013103263294023262,7.511141220363468e-05,7.909698574023974e-05,6.240182413403952e-05,7.507170162092785e-05,3.5877863253072136e-05,7.753184427454206e-05,8.13863502171832e-05,4.944774773485119e-05,7.27657222776793e-05,0.00010336909194434026,0.000146636332313047,0.0001319719192011319,0.00015921418390954918,4.931970424392702e-05,2.9060499147666894e-05,5.098214922917385e-05,3.3503901662809826e-05,7.436952625293887e-05,6.489871740416709e-05,7.537217286454403e-05,3.648107348841399e-05,4.34565934003294e-05,5.1705825746914734e-05,4.308683184546803e-05,3.370506420621173e-05,4.675629396240862e-05,5.249959726333532e-05,4.793241994056462e-05,3.736626564356944e-05,3.3218835082118865e-05,2.9713522495876824e-05,3.3733165281528756e-05,1.832985446402177e-05,2.244403121990098e-05,3.277847382969697e-05,2.3383024676271873e-05,6.410374747511664e-05,4.249085795889416e-05,5.026372158280972e-05,1.8565909049345452e-05,4.093371370131006e-05,2.225292554940265e-05,2.513252386683004e-05,3.4103428991524286e-05,4.264659322389439e-05,2.220201701917738e-05,1.1347262607844712e-05,1.2789662732556761e-05,1.1881254461524365e-05,1.7966021519074436e-05,1.6917796828208346e-05,7.806915432176333e-06,7.650372309171448e-06,6.18031216770792e-06
Bread Financial,bread financial,0.7767127844958501,0.00187456739002367,0.0007352974431365421,0.00044548526454461865,0.0002541948586366016,0.00017893022093960333,0.00013998454725303692,0.00019524476536457002,0.00011032283756678449,0.00010546774754095551,0.00014237065823257035,9.29615810327108e-05,0.00015979139661269164,6.966299596942104e-05,0.00013692636735043037,0.0001049470167764501,0.0001130862791368709,0.00013484006788660154,0.00011444957790143721,6.56263371337683e-05,5.232939107420793e-05,8.165599785478413e-05,7.14079456448516e-05,5.609804991841843e-05,5.681428406607892e-05,4.6479053687071234e-05,4.01449645899334e-05,7.727118242007858e-05,4.6986715718439065e-05,6.213604486395732e-05,8.752661308395088e-05,3.493854125435503e-05,2.0050624409686092e-05,5.919850486760088e-05,2.8188000232665783e-05,4.490848466907253e-05,7.80039668580147e-05,3.207205246464369e-05,3.757541496199363e-05,2.7096346875329092e-05,8.39003462478309e-05,2.6967584570709386e-05,3.681827921466491e-05,4.52005905094031e-05,2.5637600022758173e-05,4.857355223056726e-05,2.784366017775937e-05,2.932110484177185e-05,2.3132239624918434e-05,2.7828939538938842e-05,1.329985687946259e-05,0.215881415520942,3.0169767976293014e-05,1.8330187705060122e-05,2.6974117304518942e-05,3.8318729265517625e-05,5.435781443661771e-05,4.892174389267067e-05,5.90204005249984e-05,1.8282722222190478e-05,1.0772672742059664e-05,1.889898747237563e-05,1.2419833753081824e-05,2.7568644441857277e-05,2.4057833295359395e-05,2.794032366759503e-05,1.3523465786762458e-05,1.6109277986165734e-05,1.9167253005500917e-05,1.597220806858187e-05,1.2494404332101044e-05,1.733247081989666e-05,1.9461502623682508e-05,1.7768458522713752e-05,1.385160486492739e-05,1.231416010419241e-05,1.101474727723689e-05,1.2504821348221518e-05,6.794842805249649e-06,8.319960442385407e-06,1.2150919010620022e-05,8.668043562397171e-06,2.3763139427854837e-05,1.5751281662251057e-05,1.8632667686063553e-05,6.882347799022573e-06,1.5174051195083475e-05,8.24911792736289e-06,9.316579643853105e-06,1.2642077413775472e-05,1.5809012434035827e-05,8.230246230317724e-06,4.206409049320668e-06,4.7411040808021374e-06,4.404358831854893e-06,6.659970612284853e-06,6.2713956777158564e-06,2.8940089655178187e-06,2.8359787222799975e-06,2.2910301742642986e-06
Bridge Investment Group,bridge investment group,0.5379312815290779,0.0022104544957892098,0.4541328315913664,0.0005286563757779362,0.00030165247518473484,0.00021233609649416794,0.00016611935187430587,0.00023169653019333283,0.00013091986675072787,0.00012515834218098922,0.00016895094448362267,0.00011031730211228482,0.00018962409609689699,8.266892287149608e-05,0.00016249021656397964,0.00012454039213722983,0.00013419923673529816,0.00016001440961565635,0.00013581706035672566,7.787862878064757e-05,6.209917237158416e-05,9.69009916199316e-05,8.47396507827121e-05,6.657143146675395e-05,6.74213849418653e-05,5.5156589964681503e-05,4.763994047601577e-05,9.169754086486311e-05,5.575903137180038e-05,7.373670668216881e-05,0.0001038676376970146,4.146148944651632e-05,2.3794031534005123e-05,7.025073448112649e-05,3.345063738227461e-05,5.3292799193031534e-05,9.256713453275192e-05,3.805983355487661e-05,4.4590661629325374e-05,3.215517476335867e-05,9.956435488215754e-05,3.200237282193722e-05,4.369217031656809e-05,5.3639440546142466e-05,3.042408310750801e-05,5.764212674266819e-05,3.304200980253169e-05,3.4795290109766323e-05,2.7450977477867436e-05,3.302454085307957e-05,1.5782910672587987e-05,3.410677396908019e-05,3.58023967699853e-05,2.1752393110896728e-05,3.20101252026657e-05,4.5472751065362235e-05,6.450629787866689e-05,5.805532501613262e-05,7.003937845262397e-05,2.1696065927608035e-05,1.2783906859591813e-05,2.2427386533720105e-05,1.4738589179555465e-05,3.271564923845665e-05,2.8549377434504627e-05,3.315672015161317e-05,1.6048266867131596e-05,1.9116844471323023e-05,2.2745736647125362e-05,1.8954183904015282e-05,1.4827081920351864e-05,2.0568404695248155e-05,2.3094922016659263e-05,2.108579033558048e-05,1.6437668783693554e-05,1.461318649470075e-05,1.3071176173798508e-05,1.4839443770287125e-05,8.063424892574164e-06,9.873278611321455e-06,1.4419468650869885e-05,1.0286348078126378e-05,2.8199664875284076e-05,1.8692011027424447e-05,2.211134543374429e-05,8.167266874682712e-06,1.8007012911777786e-05,9.789209955804689e-06,1.1055964408161867e-05,1.5002325238978273e-05,1.8760520006310198e-05,9.766814954760433e-06,4.99173629306577e-06,5.626257701486342e-06,5.22664286113721e-06,7.903372360199436e-06,7.4422513468312826e-06,3.4343140232560255e-06,3.3654496622608797e-06,2.7187604285015584e-06
Bright Health,bright health,0.9519181174180733,0.012066003266371994,0.00476304139907132,0.0028857230193738495,0.0016465998167727357,0.0011590575458312305,0.0009067788825240834,0.0012647383845585196,0.0007146390178686278,0.0006831891671917738,0.0009222354103341759,0.000602177884778527,0.001035081849395171,0.00045125647707562177,0.0008869688891422388,0.0006798160258701063,0.0007325397826888618,0.0008734544524880156,0.0007413708326478642,0.00042510818385360145,0.00033897446320030566,0.0005289436294158086,0.00046255974981391574,0.0003633867310000543,0.0003680262859565538,0.0003010776917180406,0.0002600473183945592,0.0005005400797527912,0.0003043661776154984,0.00040249909316317895,0.0005669717548174658,0.0002263216334755715,0.00012988207022065305,0.00038347056974729813,0.00018259360660260852,0.00029090400578616775,0.0005052868426405665,0.00020775335895878644,0.00024340252876644652,0.00017552219600126476,0.0005434818607261757,0.00017468811151847375,0.0002384980252312045,0.00029279618183467775,0.00016607286129385058,0.0003146452396080699,0.0001803630726163685,0.0001899335262679614,0.00014984387069129015,0.00018026771663114257,8.615257609177068e-05,0.0001861751929395027,0.00019543091740049437,0.00011873758532508678,0.00017473042865404263,0.0002482175010383166,0.00035211399542686565,0.00031690072317723566,0.0003823168619993577,0.0001184301178341415,6.978221769853668e-05,0.00012242210356304626,8.045204412024917e-05,0.0001785816012570544,0.00015583959529535433,0.00018098923038173682,8.760104907727307e-05,0.00010435118287849645,0.00012415984908653864,0.00010346328411300132,8.093509048243079e-05,0.00011227466766769293,0.0001260659118998543,0.000115098868264921,8.97266378829648e-05,7.976752118444986e-05,7.135030561111718e-05,8.100256886073983e-05,4.401500084672678e-05,5.389426605033468e-05,7.871009320888902e-05,5.6149046515632906e-05,0.00015393065476508675,0.00010203218758282077,0.00012069696201731838,4.4581832557981736e-05,9.829305774136094e-05,5.343536899442469e-05,6.035007323436169e-05,8.189167343824501e-05,0.00010240615060769394,5.331312367025317e-05,2.724788537042926e-05,3.0711483122126294e-05,2.8530146063659997e-05,4.314133829739467e-05,4.0624263721238555e-05,1.8746542152423144e-05,1.8370639239220343e-05,1.4840622211629628e-05
