run_id,stage,model,topic_index,metric,score
20250921-205356,tokenized,LDA,10,c_uci,-0.5233620462027668
20250921-205356,tokenized,LDA,11,c_uci,0.33289505976024686
20250921-205356,tokenized,LDA,12,c_uci,-0.5923600065232475
20250921-205356,tokenized,LDA,13,c_uci,-0.39529226921686544
20250921-205356,tokenized,LDA,14,c_uci,-0.13078401482854096
20250921-205356,tokenized,LDA,15,c_uci,-0.5953988894712936
20250921-205356,tokenized,LDA,16,c_uci,0.15606927998615516
20250921-205356,tokenized,LDA,17,c_uci,-0.09184997268994843
20250921-205356,tokenized,LDA,18,c_uci,-0.517051200823889
20250921-205356,tokenized,LDA,19,c_uci,0.001639664628681412
20250921-205356,tokenized,LDA,20,c_uci,-0.5388421838714108
20250921-205356,tokenized,LDA,21,c_uci,-0.35433193927507556
20250921-205356,tokenized,LDA,22,c_uci,0.07441373635490191
20250921-205356,tokenized,LDA,23,c_uci,-0.49315940546506803
20250921-205356,tokenized,LDA,24,c_uci,-0.19477291546572498
20250921-205356,tokenized,HDP1,0,c_v,0.6632702411818686
20250921-205356,tokenized,HDP1,1,c_v,0.7630142015675268
20250921-205356,tokenized,HDP1,2,c_v,0.746287795262742
20250921-205356,tokenized,HDP1,3,c_v,0.6735814556308853
20250921-205356,tokenized,HDP1,4,c_v,0.7313501077684933
20250921-205356,tokenized,HDP1,5,c_v,0.7153984525807007
20250921-205356,tokenized,HDP1,6,c_v,0.6788843275752574
20250921-205356,tokenized,HDP1,7,c_v,0.7236263576496125
20250921-205356,tokenized,HDP1,8,c_v,0.7585822125704582
20250921-205356,tokenized,HDP1,9,c_v,0.7669540113983448
20250921-205356,tokenized,HDP1,10,c_v,0.7383210574517314
20250921-205356,tokenized,HDP1,11,c_v,0.6754417644166305
20250921-205356,tokenized,HDP1,12,c_v,0.6938443363644816
20250921-205356,tokenized,HDP1,13,c_v,0.7202613499850096
20250921-205356,tokenized,HDP1,14,c_v,0.7201385334371244
20250921-205356,tokenized,HDP1,15,c_v,0.6282911335093437
20250921-205356,tokenized,HDP1,16,c_v,0.7267578998519076
20250921-205356,tokenized,HDP1,17,c_v,0.6798697686540452
20250921-205356,tokenized,HDP1,18,c_v,0.6665065989590933
20250921-205356,tokenized,HDP1,19,c_v,0.6862524621213527
20250921-205356,tokenized,HDP1,20,c_v,0.6158062220254972
20250921-205356,tokenized,HDP1,21,c_v,0.6690310850250991
20250921-205356,tokenized,HDP1,22,c_v,0.723880967806102
20250921-205356,tokenized,HDP1,23,c_v,0.783663124170697
20250921-205356,tokenized,HDP1,24,c_v,0.7658523759982621
20250921-205356,tokenized,HDP1,0,u_mass,-17.57656084848758
20250921-205356,tokenized,HDP1,1,u_mass,-20.569111647649308
20250921-205356,tokenized,HDP1,2,u_mass,-19.329524493356466
20250921-205356,tokenized,HDP1,3,u_mass,-16.70835913324025
20250921-205356,tokenized,HDP1,4,u_mass,-19.367791021569545
20250921-205356,tokenized,HDP1,5,u_mass,-18.718027292345916
20250921-205356,tokenized,HDP1,6,u_mass,-17.633078044823414
20250921-205356,tokenized,HDP1,7,u_mass,-18.8988765284427
20250921-205356,tokenized,HDP1,8,u_mass,-20.133588501246393
20250921-205356,tokenized,HDP1,9,u_mass,-20.343004783190167
20250921-205356,tokenized,HDP1,10,u_mass,-20.3334786356231
20250921-205356,tokenized,HDP1,11,u_mass,-17.18098644917818
20250921-205356,tokenized,HDP1,12,u_mass,-17.702083764182618
20250921-205356,tokenized,HDP1,13,u_mass,-19.329350690015904
20250921-205356,tokenized,HDP1,14,u_mass,-19.454013733115215
20250921-205356,tokenized,HDP1,15,u_mass,-15.840596428811736
20250921-205356,tokenized,HDP1,16,u_mass,-19.56555172912471
20250921-205356,tokenized,HDP1,17,u_mass,-17.483597354860954
20250921-205356,tokenized,HDP1,18,u_mass,-17.842157901587907
20250921-205356,tokenized,HDP1,19,u_mass,-18.08239882882242
20250921-205356,tokenized,HDP1,20,u_mass,-15.767272038270416
20250921-205356,tokenized,HDP1,21,u_mass,-16.752726555515157
20250921-205356,tokenized,HDP1,22,u_mass,-19.254536938157916
20250921-205356,tokenized,HDP1,23,u_mass,-20.520088773307126
20250921-205356,tokenized,HDP1,24,u_mass,-20.539045106722316
20250921-205356,tokenized,HDP1,0,c_npmi,-0.42218685828748215
20250921-205356,tokenized,HDP1,1,c_npmi,-0.40621199397186647
20250921-205356,tokenized,HDP1,2,c_npmi,-0.42563198978898625
20250921-205356,tokenized,HDP1,3,c_npmi,-0.43726940356201527
20250921-205356,tokenized,HDP1,4,c_npmi,-0.43464549259455726
20250921-205356,tokenized,HDP1,5,c_npmi,-0.44243646333722475
20250921-205356,tokenized,HDP1,6,c_npmi,-0.41555163100401604
20250921-205356,tokenized,HDP1,7,c_npmi,-0.4429535098413787
20250921-205356,tokenized,HDP1,8,c_npmi,-0.4229876032697415
20250921-205356,tokenized,HDP1,9,c_npmi,-0.4046286500884689
20250921-205356,tokenized,HDP1,10,c_npmi,-0.4096811599763318
20250921-205356,tokenized,HDP1,11,c_npmi,-0.44288254513463426
20250921-205356,tokenized,HDP1,12,c_npmi,-0.40685534437748344
20250921-205356,tokenized,HDP1,13,c_npmi,-0.45081700806639297
20250921-205356,tokenized,HDP1,14,c_npmi,-0.4343554947791001
20250921-205356,tokenized,HDP1,15,c_npmi,-0.4464350583064884
20250921-205356,tokenized,HDP1,16,c_npmi,-0.4235484683011208
20250921-205356,tokenized,HDP1,17,c_npmi,-0.44367454066159345
20250921-205356,tokenized,HDP1,18,c_npmi,-0.42313359085479463
20250921-205356,tokenized,HDP1,19,c_npmi,-0.42590650310002054
20250921-205356,tokenized,HDP1,20,c_npmi,-0.42717645697639456
20250921-205356,tokenized,HDP1,21,c_npmi,-0.4258527718412965
20250921-205356,tokenized,HDP1,22,c_npmi,-0.44638205659152225
20250921-205356,tokenized,HDP1,23,c_npmi,-0.43598764057609674
20250921-205356,tokenized,HDP1,24,c_npmi,-0.4310949231328823
20250921-205356,tokenized,HDP1,0,c_uci,-11.801464961706815
20250921-205356,tokenized,HDP1,1,c_uci,-11.363065062154552
20250921-205356,tokenized,HDP1,2,c_uci,-11.82747500308551
20250921-205356,tokenized,HDP1,3,c_uci,-12.18818167281667
20250921-205356,tokenized,HDP1,4,c_uci,-12.072623666813294
20250921-205356,tokenized,HDP1,5,c_uci,-12.334878122213716
20250921-205356,tokenized,HDP1,6,c_uci,-11.749715249714628
20250921-205356,tokenized,HDP1,7,c_uci,-12.292957728842028
20250921-205356,tokenized,HDP1,8,c_uci,-11.776724732323013
20250921-205356,tokenized,HDP1,9,c_uci,-11.217482337859076
20250921-205356,tokenized,HDP1,10,c_uci,-11.498925648667342
20250921-205356,tokenized,HDP1,11,c_uci,-12.307826161919529
20250921-205356,tokenized,HDP1,12,c_uci,-11.333214809859873
20250921-205356,tokenized,HDP1,13,c_uci,-12.465213505397664
20250921-205356,tokenized,HDP1,14,c_uci,-12.102965442813318
20250921-205356,tokenized,HDP1,15,c_uci,-12.509544184166543
20250921-205356,tokenized,HDP1,16,c_uci,-11.872932792671014
20250921-205356,tokenized,HDP1,17,c_uci,-12.392336169356472
20250921-205356,tokenized,HDP1,18,c_uci,-11.788285088345479
20250921-205356,tokenized,HDP1,19,c_uci,-12.005483034337567
20250921-205356,tokenized,HDP1,20,c_uci,-12.000100778613016
20250921-205356,tokenized,HDP1,21,c_uci,-11.953096767710473
20250921-205356,tokenized,HDP1,22,c_uci,-12.444812042737299
20250921-205356,tokenized,HDP1,23,c_uci,-12.046783703041994
20250921-205356,tokenized,HDP1,24,c_uci,-12.060052806833268
20250921-205356,tokenized,HDP2,0,c_v,0.7451012730695984
20250921-205356,tokenized,HDP2,1,c_v,0.6136286646630087
20250921-205356,tokenized,HDP2,2,c_v,0.6987523462505653
20250921-205356,tokenized,HDP2,3,c_v,0.6221119313976196
20250921-205356,tokenized,HDP2,4,c_v,0.7106471067193272
20250921-205356,tokenized,HDP2,5,c_v,0.674343816508793
20250921-205356,tokenized,HDP2,6,c_v,0.6614053882731185
20250921-205356,tokenized,HDP2,7,c_v,0.7253737891253365
20250921-205356,tokenized,HDP2,8,c_v,0.7289070008193413
20250921-205356,tokenized,HDP2,9,c_v,0.7021102957560048
20250921-205356,tokenized,HDP2,10,c_v,0.6966080373031043
20250921-205356,tokenized,HDP2,11,c_v,0.6830337598705692
20250921-205356,tokenized,HDP2,12,c_v,0.7335773160264225
20250921-205356,tokenized,HDP2,13,c_v,0.7148995484983776
20250921-205356,tokenized,HDP2,14,c_v,0.7681521446400849
20250921-205356,tokenized,HDP2,15,c_v,0.7485881606364745
20250921-205356,tokenized,HDP2,16,c_v,0.706873912881318
20250921-205356,tokenized,HDP2,17,c_v,0.6866288433208421
20250921-205356,tokenized,HDP2,18,c_v,0.6452737558900694
20250921-205356,tokenized,HDP2,19,c_v,0.7217525270615411
20250921-205356,tokenized,HDP2,20,c_v,0.6714313571041024
20250921-205356,tokenized,HDP2,21,c_v,0.6863763794115385
20250921-205356,tokenized,HDP2,22,c_v,0.720557330998175
20250921-205356,tokenized,HDP2,23,c_v,0.7562512643035179
20250921-205356,tokenized,HDP2,24,c_v,0.6887770306133337
20250921-205356,tokenized,HDP2,25,c_v,0.6720773134819382
20250921-205356,tokenized,HDP2,26,c_v,0.6812204274322757
20250921-205356,tokenized,HDP2,27,c_v,0.7406714372615881
20250921-205356,tokenized,HDP2,28,c_v,0.7160566004482483
20250921-205356,tokenized,HDP2,29,c_v,0.7416039185662181
20250921-205356,tokenized,HDP2,30,c_v,0.6880331191834563
20250921-205356,tokenized,HDP2,31,c_v,0.7700915035292085
20250921-205356,tokenized,HDP2,32,c_v,0.6712930072226587
20250921-205356,tokenized,HDP2,33,c_v,0.6217810381145277
20250921-205356,tokenized,HDP2,34,c_v,0.7609647050213187
20250921-205356,tokenized,HDP2,35,c_v,0.7237603393972104
20250921-205356,tokenized,HDP2,36,c_v,0.733925853256743
20250921-205356,tokenized,HDP2,37,c_v,0.6894327766725576
20250921-205356,tokenized,HDP2,38,c_v,0.7462874763704228
20250921-205356,tokenized,HDP2,39,c_v,0.7526708463025955
20250921-205356,tokenized,HDP2,40,c_v,0.7533347658025171
20250921-205356,tokenized,HDP2,41,c_v,0.7243062499374574
20250921-205356,tokenized,HDP2,42,c_v,0.7312929535992256
20250921-205356,tokenized,HDP2,43,c_v,0.7557342826554347
20250921-205356,tokenized,HDP2,44,c_v,0.6647497470896079
20250921-205356,tokenized,HDP2,45,c_v,0.7040307541543183
20250921-205356,tokenized,HDP2,46,c_v,0.6198905142139234
20250921-205356,tokenized,HDP2,47,c_v,0.7432343157993019
20250921-205356,tokenized,HDP2,48,c_v,0.6989873767845772
20250921-205356,tokenized,HDP2,49,c_v,0.7606677404262149
20250921-205356,tokenized,HDP2,50,c_v,0.693796673232278
20250921-205356,tokenized,HDP2,51,c_v,0.747953347731097
20250921-205356,tokenized,HDP2,52,c_v,0.6673801473964643
20250921-205356,tokenized,HDP2,53,c_v,0.7333544166282521
20250921-205356,tokenized,HDP2,54,c_v,0.7559160279332602
20250921-205356,tokenized,HDP2,55,c_v,0.7624589784568643
20250921-205356,tokenized,HDP2,56,c_v,0.7342225309319947
20250921-205356,tokenized,HDP2,57,c_v,0.7080742054860074
20250921-205356,tokenized,HDP2,58,c_v,0.6702945128033152
20250921-205356,tokenized,HDP2,59,c_v,0.7649697637313763
20250921-205356,tokenized,HDP2,60,c_v,0.7588846978626282
20250921-205356,tokenized,HDP2,61,c_v,0.7534543091017548
20250921-205356,tokenized,HDP2,62,c_v,0.6846368004737811
20250921-205356,tokenized,HDP2,63,c_v,0.7789720249452072
20250921-205356,tokenized,HDP2,64,c_v,0.6583123619394684
20250921-205356,tokenized,HDP2,65,c_v,0.7436231653562985
20250921-205356,tokenized,HDP2,66,c_v,0.5965617467659772
20250921-205356,tokenized,HDP2,67,c_v,0.7105384014546301
20250921-205356,tokenized,HDP2,68,c_v,0.6315514032799044
20250921-205356,tokenized,HDP2,69,c_v,0.7273659134926524
20250921-205356,tokenized,HDP2,70,c_v,0.6680263307539573
20250921-205356,tokenized,HDP2,71,c_v,0.7908046511249208
20250921-205356,tokenized,HDP2,72,c_v,0.7005989613383089
20250921-205356,tokenized,HDP2,73,c_v,0.7520751310430581
20250921-205356,tokenized,HDP2,74,c_v,0.7452757184330784
20250921-205356,tokenized,HDP2,75,c_v,0.6675609328417585
20250921-205356,tokenized,HDP2,76,c_v,0.751978929545937
20250921-205356,tokenized,HDP2,77,c_v,0.6984726586565072
20250921-205356,tokenized,HDP2,78,c_v,0.7709126439884317
20250921-205356,tokenized,HDP2,79,c_v,0.7610279653977928
20250921-205356,tokenized,HDP2,80,c_v,0.7427611834516565
20250921-205356,tokenized,HDP2,81,c_v,0.7331848544008965
20250921-205356,tokenized,HDP2,82,c_v,0.7548800531790147
20250921-205356,tokenized,HDP2,83,c_v,0.6643641416324975
20250921-205356,tokenized,HDP2,84,c_v,0.7352447490309074
20250921-205356,tokenized,HDP2,85,c_v,0.7457699795970688
20250921-205356,tokenized,HDP2,86,c_v,0.6742260017375757
20250921-205356,tokenized,HDP2,87,c_v,0.6929905772726749
20250921-205356,tokenized,HDP2,88,c_v,0.751970448639689
20250921-205356,tokenized,HDP2,89,c_v,0.6547620218382042
20250921-205356,tokenized,HDP2,90,c_v,0.7608929801765076
20250921-205356,tokenized,HDP2,91,c_v,0.7152060397021911
20250921-205356,tokenized,HDP2,92,c_v,0.6261157043597751
20250921-205356,tokenized,HDP2,93,c_v,0.7389040004537176
20250921-205356,tokenized,HDP2,94,c_v,0.7313934247466449
20250921-205356,tokenized,HDP2,95,c_v,0.7784615050739769
20250921-205356,tokenized,HDP2,96,c_v,0.6930098796084441
20250921-205356,tokenized,HDP2,97,c_v,0.7358833514871809
20250921-205356,tokenized,HDP2,98,c_v,0.599546482569193
20250921-205356,tokenized,HDP2,99,c_v,0.6018198954399622
20250921-205356,tokenized,HDP2,0,u_mass,-19.845896989324004
20250921-205356,tokenized,HDP2,1,u_mass,-16.057690972282785
20250921-205356,tokenized,HDP2,2,u_mass,-17.728935765113246
20250921-205356,tokenized,HDP2,3,u_mass,-14.860786707271252
20250921-205356,tokenized,HDP2,4,u_mass,-17.930584387179405
20250921-205356,tokenized,HDP2,5,u_mass,-17.681152452108506
20250921-205356,tokenized,HDP2,6,u_mass,-17.316077109829028
20250921-205356,tokenized,HDP2,7,u_mass,-18.225430772165012
20250921-205356,tokenized,HDP2,8,u_mass,-19.064065287625333
20250921-205356,tokenized,HDP2,9,u_mass,-17.867546133646588
20250921-205356,tokenized,HDP2,10,u_mass,-17.566407577919538
20250921-205356,tokenized,HDP2,11,u_mass,-17.31920836636799
20250921-205356,tokenized,HDP2,12,u_mass,-20.19465467890444
20250921-205356,tokenized,HDP2,13,u_mass,-18.754293050067435
20250921-205356,tokenized,HDP2,14,u_mass,-20.717052824999513
20250921-205356,tokenized,HDP2,15,u_mass,-19.600049342198243
20250921-205356,tokenized,HDP2,16,u_mass,-18.779965089981157
20250921-205356,tokenized,HDP2,17,u_mass,-18.467464293234706
20250921-205356,tokenized,HDP2,18,u_mass,-16.51145924277303
20250921-205356,tokenized,HDP2,19,u_mass,-18.80147631119968
20250921-205356,tokenized,HDP2,20,u_mass,-17.970410159568896
20250921-205356,tokenized,HDP2,21,u_mass,-17.32408978120506
20250921-205356,tokenized,HDP2,22,u_mass,-18.741397138826667
20250921-205356,tokenized,HDP2,23,u_mass,-20.079371803274636
20250921-205356,tokenized,HDP2,24,u_mass,-17.241904743403225
20250921-205356,tokenized,HDP2,25,u_mass,-17.097576161668258
20250921-205356,tokenized,HDP2,26,u_mass,-17.68556089771212
20250921-205356,tokenized,HDP2,27,u_mass,-19.817910623895376
20250921-205356,tokenized,HDP2,28,u_mass,-18.61844648931608
20250921-205356,tokenized,HDP2,29,u_mass,-19.943680020362958
20250921-205356,tokenized,HDP2,30,u_mass,-18.159294326478445
20250921-205356,tokenized,HDP2,31,u_mass,-20.509778778277997
20250921-205356,tokenized,HDP2,32,u_mass,-16.460602622268524
20250921-205356,tokenized,HDP2,33,u_mass,-15.611708538698492
20250921-205356,tokenized,HDP2,34,u_mass,-20.26915125716712
20250921-205356,tokenized,HDP2,35,u_mass,-18.998347085867874
20250921-205356,tokenized,HDP2,36,u_mass,-19.05038820964512
20250921-205356,tokenized,HDP2,37,u_mass,-17.310316347849007
20250921-205356,tokenized,HDP2,38,u_mass,-20.196221437661862
20250921-205356,tokenized,HDP2,39,u_mass,-20.76423066251973
20250921-205356,tokenized,HDP2,40,u_mass,-19.98318684774328
20250921-205356,tokenized,HDP2,41,u_mass,-19.027076260174645
20250921-205356,tokenized,HDP2,42,u_mass,-18.987524061965473
20250921-205356,tokenized,HDP2,43,u_mass,-20.053820410411586
20250921-205356,tokenized,HDP2,44,u_mass,-17.626455417996414
20250921-205356,tokenized,HDP2,45,u_mass,-18.63740715300224
20250921-205356,tokenized,HDP2,46,u_mass,-15.326311199748504
20250921-205356,tokenized,HDP2,47,u_mass,-19.424650636016707
20250921-205356,tokenized,HDP2,48,u_mass,-18.59555520592479
20250921-205356,tokenized,HDP2,49,u_mass,-20.675435564220958
20250921-205356,tokenized,HDP2,50,u_mass,-17.565507212652314
20250921-205356,tokenized,HDP2,51,u_mass,-19.49323654838455
20250921-205356,tokenized,HDP2,52,u_mass,-16.30466120073666
20250921-205356,tokenized,HDP2,53,u_mass,-19.695998288609445
20250921-205356,tokenized,HDP2,54,u_mass,-20.005573931058763
20250921-205356,tokenized,HDP2,55,u_mass,-20.33642402775659
20250921-205356,tokenized,HDP2,56,u_mass,-18.443811903201052
20250921-205356,tokenized,HDP2,57,u_mass,-18.50708372717506
20250921-205356,tokenized,HDP2,58,u_mass,-16.689883680514274
20250921-205356,tokenized,HDP2,59,u_mass,-19.63372750956247
20250921-205356,tokenized,HDP2,60,u_mass,-19.69846118892827
20250921-205356,tokenized,HDP2,61,u_mass,-19.2108635191224
20250921-205356,tokenized,HDP2,62,u_mass,-17.866818647273593
20250921-205356,tokenized,HDP2,63,u_mass,-20.33571246616281
20250921-205356,tokenized,HDP2,64,u_mass,-16.553793667005785
20250921-205356,tokenized,HDP2,65,u_mass,-19.355371072213266
20250921-205356,tokenized,HDP2,66,u_mass,-15.091924705390477
20250921-205356,tokenized,HDP2,67,u_mass,-18.202672796579133
20250921-205356,tokenized,HDP2,68,u_mass,-15.900807433897214
20250921-205356,tokenized,HDP2,69,u_mass,-17.834157489534892
20250921-205356,tokenized,HDP2,70,u_mass,-16.805071030851728
20250921-205356,tokenized,HDP2,71,u_mass,-20.51530281799761
20250921-205356,tokenized,HDP2,72,u_mass,-17.644041109603943
20250921-205356,tokenized,HDP2,73,u_mass,-20.00890084117126
